Title,Notes,Tags,URL
Verifying Applicants List,Confirm applicants are listed to test before starting session.,how to,Procedures for Fresno Armory 
Applicant Briefing,"Brief applicants: no late arrivals after 1100, valid ID, SSN card, 680 forms, devices off, restrooms, and no talking in class.",faq,Procedures for Fresno Armory 
Applicant Sign-In and Materials,"Applicants sign in, pick up pencil and scratch paper before entering.",how to,Procedures for Fresno Armory 
Identity Verification and 680-3A Processing,"Verify ID, SSN, 680-3A; applicants sign block 22; ITA completes blocks 18 and 19.",how to,Procedures for Fresno Armory 
Entering Applicant Data in Terminal,"Enter applicant SSN, use Alt+F4 if unable to continue. Re-enter SSN if needed.",how to,Procedures for Fresno Armory 
Selecting Service and Test Type,"Choose service branch, test type (initial or retest), and prior test version if retest.",how to,Procedures for Fresno Armory 
CAT-ASVAB Home Page Confirmation,Applicant confirms name and SSN on CAT-ASVAB page before starting test.,documentation,Procedures for Fresno Armory 
Handling Help Requests,"If Help screen appears, clear with passcode 24609 and select justification statement.",troubleshooting,Procedures for Fresno Armory 
Handling Time-Outs,"If timeout occurs, screen turns red; clear using passcode 24609 and select justification.",troubleshooting,Procedures for Fresno Armory 
Test Completion Procedure,"Applicant raises hand at test completion. Close window, confirm exit, print verified score report at TA station.",how to,Procedures for Fresno Armory 
Printing Verified Score Report,"Use Reports menu, search by name/SSN or test location (752601), print and provide in envelope to applicant.",how to,Procedures for Fresno Armory 
Retrieving Reports for Test Location,"For location 752607, use SSN to retrieve test reports when not visible by location search.",troubleshooting,Procedures for Fresno Armory 
Acceptable Documents for SSN Verification,"Acceptable SSN verification includes SSN card, DD214, DD215, NGB 22, W-2, tax forms, SSA printout, ID card with SSN, official transcript.",faq,Procedures for Fresno Armory 
Shutdown Procedures,"Shutdown: press Ctrl+Alt+Delete, power → restart (use update restart if available), re-enter BitLocker code (96541230), leave computer half open.",how to,Procedures for Fresno Armory 
Abandoned test,At a school session if test is Abandoned fill out 601-4 selecting the proper reason. ,how to,601-4
incomplete test,If for some reason the student is unable to complete the test and it is an approved reason the school will need to reschedual with Meps and have the test completed with in 10 days. ,how to,601-4
